phrase,Advanced,Bad,BadManagement,BeginnerFriendly,OverallGood,GoodManagement,GoodResources,InformativeAndKnowledgeable,Lengthy,Short 
"I found the session to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The session had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet session. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The session's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This session was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly session with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The session was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The session was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the session to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The session had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet session. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the session to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The session had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet session. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The session's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This session was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly session with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The session was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The session was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the session to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The session had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet session. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The session's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This session was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly session with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The session was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The session was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the session to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The session had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet session. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The session's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This session was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly session with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The session was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The session was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the session to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The session had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
"It was a short and sweet session. However, the lack of informative content made it somewhat bad.",0,1,0,0,0,0,0,0,0,1
"The session's length was just right, and the content was informative and knowledgeable. The management was good, too.",0,0,0,0,1,1,0,1,0,0
"This session was advanced and informative, but the management was lacking. Overall, it was decent.",1,0,1,0,0,0,0,1,0,0
"It was a beginner-friendly session with informative content. However, it was too short.",0,0,0,1,0,0,0,1,0,1
"The session was advanced and informative, but it suffered from bad management.",1,0,1,0,0,0,0,1,0,0
"The session was overall good with good resources. It was beginner-friendly, but the content was too short.",0,0,0,1,1,0,1,0,0,1
"It was a lengthy session with advanced topics, and the management was terrible. Overall, it was bad.",1,1,1,0,0,0,0,0,1,0
"This session was both advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good management and resources.",1,0,0,0,1,1,1,1,0,0
"I would say it was beginner-friendly, but the management was bad. The content was informative, though.",0,0,1,1,0,0,0,1,0,0
"The session was overall good, but it felt a bit lengthy. The management was excellent.",0,0,0,0,1,1,0,0,1,0
"This session was advanced and informative, with good resources. However, it was quite lengthy.",1,0,0,0,0,0,1,1,1,0
"I found the session to be beginner-friendly, and the content was highly informative. However, it was a bit lengthy.",0,0,0,1,1,0,1,1,1,0
"The session had advanced topics and bad management. Unfortunately, it ended up being bad.",1,1,1,0,0,0,0,0,0,0
